"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5362","test_name_locators","Tests","2026-09-23","passed","2026-09-23","","test_locators","",""
"","6262","test_css_selector_locators","Tests","2026-09-23","passed","2026-09-23","","test_locators","",""
"","5118","test_create_10_posts_for_user","Tests","2026-09-23","passed","2026-09-23","TestUserPosts","test_api_and_buckets","",""
"","3001","test_add_two_negative_numbers","Tests","2026-09-23","passed","2026-09-23","","test_fixtures_demo","",""
"","6504","test_id_locators","Tests","2026-09-23","passed","2026-09-23","","test_locators","",""
"","2","DM_MAIN_DASHBOARD table exists","Tests","2026-09-23","passed","2026-09-23","","test_db_tables","",""
"","0","test_add_numbers[positive]","Tests","2026-09-23","passed","2026-09-23","","test_add_numbers","",""
"","288","test_10_posts_exist_for_user","Tests","2026-09-23","passed","2026-09-23","TestUserPosts","test_api_and_buckets","",""
"","0","test_add_numbers[negative]","Tests","2026-09-23","passed","2026-09-23","","test_add_numbers","",""
"","43","Power BI report: 'Capture view' button is present","Tests","2026-09-23","passed","2026-09-23","","test_powerbi_report","",""
"","4","DWH_PRODUCTS has no NULL product_id","Tests","2026-09-23","passed","2026-09-23","","test_db_tables","",""
"","0","test_add_numbers[mixed]","Tests","2026-09-23","passed","2026-09-23","","test_add_numbers","",""
"","10","test_aws_target_bucket_not_empty","Tests","2026-09-23","passed","2026-09-23","TestBucketDataPresence","test_api_and_buckets","",""
"","4","DWH_CLIENTS is not empty","Tests","2026-09-23","passed","2026-09-23","","test_db_tables","",""
"","2","DWH_PRODUCTS table exists","Tests","2026-09-23","passed","2026-09-23","","test_db_tables","",""
"","14","DWH_CLIENTS table exists","Tests","2026-09-23","passed","2026-09-23","","test_db_tables","",""
"","10000","test_add_negative_and_positive_numbers","Tests","2026-09-23","passed","2026-09-23","","test_fixtures_demo","",""
"","2001","test_add_two_positive_numbers","Tests","2026-09-23","passed","2026-09-23","","test_fixtures_demo","",""
"","1266","test_class_name_locators","Tests","2026-09-23","passed","2026-09-23","","test_locators","",""
"","0","test_add_invalid_types","Tests","2026-09-23","passed","2026-09-23","","test_add_numbers","",""
"","4692","test_relative_locator","Tests","2026-09-23","passed","2026-09-23","","test_locators","",""
"","1735","test_chrome_opens_google_automatic_driver","Tests","2026-09-23","passed","2026-09-23","","test_browser_drivers","",""
"","0","test_firefox_opens_google_manual_driver","Tests","2026-09-23","skipped","2026-09-23","","test_browser_drivers","",""
"","5329","test_xpath_locators","Tests","2026-09-23","passed","2026-09-23","","test_locators","",""
"","0","test_gcp_source_bucket_not_empty","Tests","2026-09-23","passed","2026-09-23","TestBucketDataPresence","test_api_and_buckets","",""
"","8912","Power BI report: chart title and bars are present","Tests","2026-09-23","passed","2026-09-23","","test_powerbi_report","",""
"","5","DM_MAIN_DASHBOARD has no duplicate ids","Tests","2026-09-23","passed","2026-09-23","","test_db_tables","",""
"","8523","test_search_and_open_first_result","Tests","2026-09-23","passed","2026-09-23","","test_waits","",""
